name,significance,var_flag,ra,dec,missing,class,prob
2CXO J095759.7+024657,7.8631232881128605,1,149.49889209160068,2.7825969923276355,0.3220338983050847,AGN,0.9999762382977359
2CXO J100200.3+025608,5.68242941085379,1,150.5015637380483,2.93569434916188,0.2711864406779661,AGN,0.9999892486482566
2CXO J122348.8+103252,4.555555555555491,1,185.9536206062668,10.547839806015087,0.423728813559322,AGN,0.9999278047004876
2CXO J122448.9+130425,5.235294117647091,1,186.2037786098776,13.073653039832713,0.423728813559322,AGN,0.9999461942924563
2CXO J122735.9+082030,2.216216216216164,1,186.899733235521,8.341782806220165,0.4406779661016949,AGN,0.9999009866182628
2CXO J123039.6+104347,4.777777777777653,1,187.66507643142108,10.729936329865607,0.4067796610169492,AGN,0.9999439909726191
2CXO J123043.4+165238,5.642625265500934,1,187.680964387114,16.877432529970704,0.3220338983050847,AGN,0.9999601368307568
2CXO J123048.0+103556,2.722222222222166,1,187.70029231300282,10.5989089371414,0.3559322033898305,AGN,0.9999113049316428
2CXO J123105.2+080045,4.93333333333318,1,187.77202184760762,8.012621331241018,0.3220338983050847,AGN,0.9999818177132558
2CXO J123139.0+103742,5.176470588236136,1,187.91262047912656,10.628483887368821,0.423728813559322,AGN,0.9999377502570638
2CXO J123224.7+141436,4.444444444444444,1,188.1029577656525,14.243434346989353,0.3559322033898305,AGN,0.9999671472176138
2CXO J123300.9+165804,2.9444444444446405,1,188.25403517301936,16.96790174257679,0.4067796610169492,AGN,0.9999391934410949
2CXO J123615.4+071612,5.352941176470268,1,189.06456121875087,7.270180428961573,0.423728813559322,AGN,0.9999243168336934
2CXO J124224.7+113957,3.99999999999964,1,190.60327490188442,11.665916049836907,0.3220338983050847,AGN,0.9999930008026976
2CXO J124248.6+120620,3.4117647058824234,1,190.70290257486545,12.1057101070511,0.4067796610169492,AGN,0.999966990477297
2CXO J124300.7+122026,5.956376111860372,1,190.75294324713138,12.340750334803126,0.3220338983050847,AGN,0.9999537064742472
2CXO J124440.7+110521,7.9954587067989,1,191.16992208907038,11.08928834077064,0.3050847457627119,AGN,0.9999370328243544
2CXO J143233.7+313722,8.737667927540532,1,218.1406353786731,31.623018968843926,0.2711864406779661,AGN,0.9999679034336478
2CXO J000228.1+010103,3.757575757575853,1,0.6174241734827319,1.0176493357354597,0.423728813559322,AGN,0.9999893626006552
2CXO J002241.2+002533,8.902264784026665,1,5.6720795286835255,0.426052548398246,0.423728813559322,AGN,0.9999148655843696
2CXO J003747.6-090805,6.592753691067487,1,9.448486937149935,-9.134741572453756,0.4406779661016949,AGN,0.9999476763272238
2CXO J004252.6-093901,3.2000000000000584,1,10.719225953883438,-9.650449441528243,0.4576271186440678,AGN,0.9999228373293924
2CXO J004522.2-085249,2.0000000000000004,1,11.34252735518663,-8.880535862947283,0.4576271186440678,AGN,0.9999626732575853
2CXO J005601.5-012406,7.882669294388955,1,14.006286826833902,-1.401924133853575,0.5084745762711864,AGN,0.9999000657180742
2CXO J005625.9+003916,2.421052631578967,1,14.108248644375974,0.6545379306028632,0.3220338983050847,AGN,0.9999619620376478
2CXO J010654.2+010214,10.964831300010744,1,16.72620239412697,1.0374239307597894,0.3050847457627119,AGN,0.9999580377314116
2CXO J014927.7-004227,6.536206367620019,1,27.36577855233793,-0.7075088894739713,0.3220338983050847,AGN,0.999977888547273
2CXO J020110.8+004555,3.9999999999997176,1,30.295099438002072,0.7653851114658662,0.3389830508474576,AGN,0.9999319552523402
2CXO J022449.8-043025,8.466235454495964,1,36.20768071260608,-4.507151783778993,0.3559322033898305,AGN,0.9999221692530676
